#GPU,GPU type,Calc type,Topology,Time,Performance
2,A100,HF Gradient, 12, 4.430921, 0.02351
2,A100,HF Gradient, 13, 5.151042, 0.02555
2,A100,HF Gradient, 14, 5.849657, 0.02794
2,A100,HF Gradient, 15, 6.625965, 0.03019
2,A100,RIHF Energy, 1, 0.033592, 0.2208
2,A100,RIHF Energy, 2, 0.058472, 1.24
2,A100,RIHF Energy, 3, 0.088314, 3.413
2,A100,RIHF Energy, 4, 0.139982, 6.143
2,A100,RIHF Energy, 5, 0.209848, 9.396
2,A100,RIHF Energy, 6, 0.307946, 12.73
2,A100,RIHF Energy, 7, 0.456729, 15.42
2,A100,RIHF Energy, 8, 0.645961, 18.17
2,A100,RIHF Energy, 9, 0.910226, 20.29
2,A100,RIHF Energy, 10, 1.278732, 21.7
2,A100,RIHF Energy, 11, 1.714491, 23.41
2,A100,RIHF Energy, 12, 2.25175, 25.0
2,A100,RIHF Energy, 13, 2.951573, 26.05
2,A100,RIHF Energy, 14, 3.94251, 26.04
2,A100,RIHF Gradient, 1, 0.087008, 0.0945
2,A100,RIHF Gradient, 2, 0.095931, 0.8345
2,A100,RIHF Gradient, 3, 0.118548, 2.807
2,A100,RIHF Gradient, 4, 0.179037, 5.304
2,A100,RIHF Gradient, 5, 0.263713, 8.257
2,A100,RIHF Gradient, 6, 0.37853, 11.43
2,A100,RIHF Gradient, 7, 0.553438, 14.05
2,A100,RIHF Gradient, 8, 0.778779, 16.65
2,A100,RIHF Gradient, 9, 1.099099, 18.56
2,A100,RIHF Gradient, 10, 1.526224, 20.08
2,A100,RIHF Gradient, 11, 2.010742, 22.05
2,A100,RIHF Gradient, 12, 2.621066, 23.72
2,A100,RIHF Gradient, 13, 3.43276, 24.74
2,A100,RIHF Gradient, 14, 4.55016, 24.92
2,A100,RIHF + RIMP2 Energy, 1, 0.036408, 0.2822
2,A100,RIHF + RIMP2 Energy, 2, 0.067881, 1.629
2,A100,RIHF + RIMP2 Energy, 3, 0.110546, 4.582
2,A100,RIHF + RIMP2 Energy, 4, 0.196189, 8.045
2,A100,RIHF + RIMP2 Energy, 5, 0.329361, 11.92
2,A100,RIHF + RIMP2 Energy, 6, 0.557135, 15.09
2,A100,RIHF + RIMP2 Energy, 7, 0.910062, 17.8
2,A100,RIHF + RIMP2 Energy, 8, 1.457154, 19.78
2,A100,RIHF + RIMP2 Energy, 9, 2.255656, 21.36
2,A100,RIHF + RIMP2 Energy, 10, 3.406898, 22.51
2,A100,RIHF + RIMP2 Energy, 11, 4.653538, 24.54
2,A100,RIHF + RIMP2 Energy, 12, 6.016067, 26.92
2,A100,RIHF + RIMP2 Energy, 13, 8.482662, 26.69
2,A100,RIHF + RIMP2 Energy, 14, 10.42003, 29.7
2,A100,RIHF + RIMP2 Gradient, 1, 0.10267, 0.2771
2,A100,RIHF + RIMP2 Gradient, 2, 0.131318, 2.346
2,A100,RIHF + RIMP2 Gradient, 3, 0.206904, 6.941
2,A100,RIHF + RIMP2 Gradient, 4, 0.413368, 11.03
